"subject","target","trial","race","object","time","response"
35,"b17",37,"black","gun","676","correct"
36,"b91",37,"black","gun","730","correct"
1,"w04",38,"white","gun","536","correct"
2,"w97",38,"white","nogun","538","correct"
3,"w96",38,"white","gun","610","correct"
4,"w95",38,"white","nogun","564","correct"
5,"w92",38,"white","nogun","547","correct"
6,"b99",38,"black","gun","462","correct"
7,"b10",38,"black","nogun","762","correct"
8,"w93",38,"white","nogun","687","correct"
9,"w91",38,"white","nogun","691","correct"
10,"w11",38,"white","nogun","605","correct"
11,"w99",38,"white","nogun","629","correct"
12,"b01",38,"black","gun","678","correct"
13,"w94",38,"white","nogun","724","correct"
14,"w91",38,"white","gun","806","correct"
15,"b91",38,"black","gun","422","correct"
16,"b03",38,"black","nogun","567","correct"
17,"w98",38,"white","gun","554","correct"
18,"b02",38,"black","gun","486","correct"
19,"b94",38,"black","nogun","647","correct"
20,"w15",38,"white","gun","564","correct"
21,"w03",38,"white","gun","642","correct"
22,"b07",38,"black","nogun","756","correct"
23,"b93",38,"black","nogun","546","correct"
24,"w03",38,"white","gun","620","correct"
25,"b16",38,"black","nogun","672","correct"
26,"b05",38,"black","nogun","648","correct"
27,"w04",38,"white","nogun","603","correct"
28,"w07",38,"white","gun","541","correct"
29,"w17",38,"white","nogun","556","correct"
30,"b13",38,"black","nogun",".","timeout"
31,"b13",38,"black","nogun","577","correct"
32,"b95",38,"black","nogun","609","correct"
33,"w08",38,"white","nogun","518","correct"
34,"w90",38,"white","gun","521","correct"
35,"b14",38,"black","nogun","725","correct"
36,"w92",38,"white","nogun","708","correct"
1,"b92",39,"black","gun","545","correct"
2,"w91",39,"white","gun","771","correct"
3,"w07",39,"white","nogun","579","correct"
4,"b16",39,"black","gun","553","correct"
5,"b09",39,"black","gun","580","correct"
6,"b16",39,"black","gun","583","correct"
7,"w02",39,"white","nogun","654","correct"
8,"b09",39,"black","gun","602","correct"
9,"b17",39,"black","gun","676","correct"
10,"b09",39,"black","nogun","623","correct"
11,"w93",39,"white","gun","591","correct"
12,"b95",39,"black","nogun","809","correct"
13,"w98",39,"white","gun","544","correct"
14,"b04",39,"black","gun","697","correct"
15,"b16",39,"black","nogun","570","correct"
16,"b02",39,"black","nogun","478","correct"
17,"b14",39,"black","nogun","717","correct"
18,"w91",39,"white","nogun","540","correct"
19,"w16",39,"white","nogun","512","correct"
20,"w94",39,"white","gun","576","correct"
21,"w06",39,"white","gun","697","correct"
22,"b94",39,"black","gun","512","correct"
23,"w98",39,"white","nogun","646","correct"
24,"w17",39,"white","gun","782","correct"
25,"w90",39,"white","nogun","628","correct"
26,"w95",39,"white","nogun","577","correct"
27,"w06",39,"white","gun","655","correct"
28,"b93",39,"black","nogun","612","correct"
29,"w02",39,"white","nogun","498","correct"
30,"b90",39,"black","gun","589","correct"
31,"w13",39,"white","gun","551","correct"
32,"w99",39,"white","gun","476","correct"
33,"b93",39,"black","nogun","512","correct"
34,"w04",39,"white","nogun","564","correct"
35,"b90",39,"black","nogun","622","correct"
36,"w15",39,"white","nogun","626","correct"
1,"w90",40,"white","gun","467","correct"
2,"w04",40,"white","nogun","616","correct"
3,"b07",40,"black","nogun","741","correct"
4,"w97",40,"white","nogun","521","correct"
5,"w91",40,"white","nogun","542","correct"
6,"w94",40,"white","gun","624","correct"
7,"b16",40,"black","gun","529","correct"
8,"b95",40,"black","nogun","624","correct"
9,"b02",40,"black","nogun","564","correct"
10,"w91",40,"white","nogun","603","correct"
11,"b10",40,"black","nogun","662","correct"
12,"b03",40,"black","nogun","603","correct"
13,"w91",40,"white","gun",".","timeout"
14,"b92",40,"black","gun","582","correct"
15,"b10",40,"black","gun","528","correct"
16,"b01",40,"black","gun","374","incorrect"
17,"b11",40,"black","gun","750","correct"
18,"w07",40,"white","nogun","571","correct"
19,"b10",40,"black","nogun","644","correct"
20,"w96",40,"white","nogun","732","correct"
21,"b05",40,"black","nogun","649","correct"
22,"w03",40,"white","nogun","653","correct"
23,"b11",40,"black","gun","553","correct"
24,"b98",40,"black","gun","566","correct"
25,"w07",40,"white","nogun","507","correct"
26,"w03",40,"white","nogun","738","correct"
27,"w16",40,"white","gun","558","correct"
28,"b16",40,"black","gun","516","correct"
29,"b96",40,"black","gun","428","correct"
30,"w94",40,"white","nogun","608","correct"
31,"w03",40,"white","nogun","502","incorrect"
32,"w94",40,"white","nogun","602","correct"
33,"b99",40,"black","nogun","456","correct"
34,"w16",40,"white","gun","725","correct"
35,"b07",40,"black","gun","509","correct"
36,"w91",40,"white","gun","690","correct"
1,"w97",41,"white","nogun","681","correct"
2,"w14",41,"white","gun","572","correct"
3,"w98",41,"white","nogun","687","correct"
4,"w98",41,"white","nogun","619","correct"
5,"w16",41,"white","gun","543","correct"
6,"b17",41,"black","nogun","619","correct"
7,"b07",41,"black","gun","518","correct"
8,"b99",41,"black","gun","559","correct"
9,"w02",41,"white","gun","427","correct"
10,"w15",41,"white","nogun","533","correct"
11,"w16",41,"white","gun","594","correct"
12,"w02",41,"white","gun","443","correct"
13,"w01",41,"white","nogun","649","correct"
14,"w08",41,"white","nogun","676","correct"
15,"w07",41,"white","gun","551","correct"
16,"b90",41,"black","gun","488","correct"
17,"w05",41,"white","nogun","784","correct"
18,"w14",41,"white","gun","496","correct"
19,"w08",41,"white","gun","525","correct"
20,"w92",41,"white","nogun","645","correct"
21,"w14",41,"white","gun","538","correct"
22,"b91",41,"black","nogun","592","correct"
23,"b97",41,"black","gun","437","correct"
24,"b07",41,"black","nogun","757","correct"
25,"b99",41,"black","gun","448","correct"
26,"b16",41,"black","gun","519","correct"
27,"w90",41,"white","nogun","678","correct"
28,"b93",41,"black","gun","405","correct"
29,"b08",41,"black","nogun","641","correct"
30,"w16",41,"white","nogun","542","incorrect"
31,"w96",41,"white","gun","597","correct"
32,"b16",41,"black","nogun","648","correct"
33,"b92",41,"black","nogun","483","correct"
34,"b01",41,"black","nogun","554","correct"
35,"w90",41,"white","nogun","629","correct"
36,"w07",41,"white","nogun","656","correct"
1,"b04",42,"black","nogun","619","correct"
2,"b03",42,"black","nogun","623","correct"
3,"w92",42,"white","gun","765","correct"
4,"w94",42,"white","nogun","726","correct"
5,"b12",42,"black","nogun","548","incorrect"
6,"w98",42,"white","nogun","625","correct"
7,"b93",42,"black","gun","441","correct"
8,"b97",42,"black","gun","623","correct"
9,"b09",42,"black","nogun","585","correct"
10,"b93",42,"black","gun","693","correct"
11,"b16",42,"black","nogun","596","correct"
12,"b02",42,"black","nogun","754","correct"
13,"w97",42,"white","gun","504","correct"
14,"b11",42,"black","nogun","745","correct"
15,"w94",42,"white","gun","437","correct"
16,"b93",42,"black","gun","535","correct"
17,"b01",42,"black","gun","529","correct"
18,"b05",42,"black","nogun","594","correct"
19,"w04",42,"white","nogun","557","correct"
20,"b99",42,"black","gun","559","correct"
21,"w11",42,"white","nogun","546","correct"
22,"b17",42,"black","nogun","649","correct"
23,"b91",42,"black","gun","461","correct"
24,"b92",42,"black","nogun","820","correct"
25,"b02",42,"black","gun","580","correct"
26,"w14",42,"white","gun","365","correct"
27,"b93",42,"black","gun","524","correct"
28,"w05",42,"white","nogun","710","correct"
29,"b97",42,"black","gun","623","correct"
30,"w16",42,"white","gun","625","correct"
31,"b09",42,"black","gun","649","correct"
32,"b94",42,"black","nogun","582","correct"
33,"b08",42,"black","nogun","718","correct"
34,"b09",42,"black","gun","708","correct"
35,"w92",42,"white","gun","670","correct"
36,"w04",42,"white","nogun","632","correct"
1,"b97",43,"black","nogun","690","correct"
2,"b98",43,"black","nogun","644","correct"
3,"w98",43,"white","gun","500","correct"
4,"w93",43,"white","nogun","547","correct"
5,"w04",43,"white","nogun",".","timeout"
6,"w19",43,"white","gun","489","correct"
7,"b01",43,"black","nogun","679","correct"
8,"b92",43,"black","nogun","650","correct"
9,"w05",43,"white","gun","450","correct"
10,"b97",43,"black","gun","426","incorrect"
11,"w03",43,"white","nogun","737","correct"
12,"w94",43,"white","gun","472","incorrect"
13,"w14",43,"white","gun","512","correct"
14,"b16",43,"black","gun","579","correct"
15,"w19",43,"white","nogun","619","correct"
16,"w11",43,"white","gun","483","correct"
17,"b99",43,"black","nogun","654","correct"
18,"b17",43,"black","gun","586","incorrect"
19,"w93",43,"white","nogun","573","correct"
20,"b04",43,"black","gun","611","correct"
21,"w07",43,"white","gun","593","correct"
22,"w01",43,"white","nogun","628","correct"
23,"b01",43,"black","nogun","613","correct"
24,"w08",43,"white","gun","824","correct"
25,"w13",43,"white","gun","738","correct"
26,"w13",43,"white","nogun","547","correct"
27,"b91",43,"black","nogun","777","correct"
28,"b01",43,"black","nogun","567","correct"
29,"b10",43,"black","nogun","790","correct"
30,"w01",43,"white","gun","648","correct"
31,"b93",43,"black","gun","579","correct"
32,"w16",43,"white","nogun","630","correct"
33,"w07",43,"white","nogun","432","correct"
34,"b03",43,"black","gun","559","correct"
35,"w11",43,"white","nogun","641","correct"
36,"b90",43,"black","nogun","621","correct"
1,"w91",44,"white","gun","731","correct"
2,"w90",44,"white","nogun","539","correct"
3,"w99",44,"white","gun","408","correct"
4,"b96",44,"black","nogun","474","correct"
5,"b92",44,"black","nogun","706","correct"
6,"w11",44,"white","gun","540","correct"
7,"w17",44,"white","nogun","744","correct"
8,"w05",44,"white","gun","556","correct"
9,"b04",44,"black","gun","524","correct"
10,"w07",44,"white","gun","581","correct"
11,"w06",44,"white","nogun","614","correct"
12,"w90",44,"white","gun","767","correct"
13,"b09",44,"black","nogun","602","correct"
14,"b14",44,"black","nogun","594","correct"
15,"b02",44,"black","nogun","585","correct"
16,"b04",44,"black","nogun","698","correct"
17,"b90",44,"black","nogun","830","correct"
18,"w95",44,"white","nogun","642","correct"
19,"w97",44,"white","gun","509","correct"
20,"w07",44,"white","nogun","555","correct"
21,"w02",44,"white","gun","536","correct"
22,"b99",44,"black","nogun","577","correct"
23,"w19",44,"white","gun","584","correct"
24,"b11",44,"black","gun","782","correct"
25,"b97",44,"black","gun","573","correct"
26,"w03",44,"white","gun","466","correct"
27,"w11",44,"white","gun","508","correct"
28,"b10",44,"black","gun","552","correct"
29,"b05",44,"black","gun","370","correct"
30,"w05",44,"white","nogun","727","correct"
31,"b97",44,"black","gun","497","correct"
32,"b04",44,"black","gun","522","correct"
33,"w05",44,"white","nogun","552","correct"
34,"w19",44,"white","gun","630","correct"
35,"w17",44,"white","nogun","648","incorrect"
36,"w01",44,"white","nogun","618","correct"
1,"b98",45,"black","nogun","690","correct"
2,"w90",45,"white","gun","588","correct"
3,"b93",45,"black","gun","581","correct"
4,"w02",45,"white","gun","602","correct"
5,"w01",45,"white","gun","468","correct"
6,"w91",45,"white","nogun","580","correct"
7,"w02",45,"white","gun","605","correct"
8,"w11",45,"white","gun","568","correct"
9,"b03",45,"black","gun","414","correct"
10,"b07",45,"black","nogun","841","correct"
11,"b99",45,"black","gun","468","correct"
12,"w02",45,"white","nogun","531","correct"
13,"b13",45,"black","nogun","657","correct"
14,"b14",45,"black","gun","572","correct"
15,"w99",45,"white","nogun","500","correct"
16,"b07",45,"black","gun","464","correct"
17,"b10",45,"black","nogun","829","correct"
18,"b12",45,"black","gun","763","correct"
19,"w01",45,"white","nogun","526","correct"
20,"w11",45,"white","gun","593","correct"
21,"b17",45,"black","nogun","656","correct"
22,"w15",45,"white","nogun","519","correct"
23,"b11",45,"black","nogun","620","correct"
24,"b95",45,"black","nogun","668","correct"
25,"w11",45,"white","nogun","553","correct"
26,"w11",45,"white","gun","472","correct"
27,"w13",45,"white","gun","488","correct"
28,"w13",45,"white","nogun","543","correct"
29,"b94",45,"black","gun","470","correct"
30,"b17",45,"black","nogun","660","correct"
31,"b02",45,"black","nogun","586","correct"
32,"w07",45,"white","gun","580","correct"
33,"b05",45,"black","gun","576","correct"
34,"w14",45,"white","gun","587","correct"
35,"b16",45,"black","gun","588","correct"
36,"b13",45,"black","gun","659","correct"
1,"b17",46,"black","gun","772","correct"
2,"b91",46,"black","nogun","619","correct"
3,"b11",46,"black","gun","621","correct"
4,"b92",46,"black","gun","506","correct"
5,"w06",46,"white","gun","559","correct"
6,"w92",46,"white","nogun","614","correct"
7,"w95",46,"white","nogun","605","correct"
8,"w98",46,"white","nogun","645","correct"
9,"w06",46,"white","nogun","761","correct"
10,"w95",46,"white","gun","545","correct"
11,"b12",46,"black","nogun","652","correct"
12,"b07",46,"black","gun","772","correct"
13,"w13",46,"white","gun","617","correct"
14,"w04",46,"white","nogun","536","correct"
15,"b95",46,"black","nogun","541","correct"
16,"b10",46,"black","gun","466","correct"
17,"w19",46,"white","gun","566","correct"
18,"w90",46,"white","gun","489","correct"
19,"w98",46,"white","nogun","549","correct"
20,"b05",46,"black","gun","634","correct"
21,"b09",46,"black","gun","594","correct"
22,"b05",46,"black","gun","573","correct"
23,"b96",46,"black","gun","532","correct"
24,"w93",46,"white","nogun","673","correct"
25,"w15",46,"white","gun","462","correct"
26,"b14",46,"black","nogun","740","correct"
27,"b09",46,"black","nogun","581","correct"
28,"b91",46,"black","gun","489","correct"
29,"w97",46,"white","nogun","531","correct"
30,"b99",46,"black","nogun","632","correct"
31,"b03",46,"black","gun","497","correct"
32,"w11",46,"white","nogun","583","correct"
33,"w93",46,"white","gun","408","correct"
34,"b09",46,"black","nogun","595","correct"
35,"w04",46,"white","nogun","614","correct"
36,"w17",46,"white","gun","637","correct"
1,"w02",47,"white","gun","745","correct"
2,"b10",47,"black","gun","822","correct"
3,"w91",47,"white","nogun","667","correct"
4,"w16",47,"white","gun","631","correct"
5,"b95",47,"black","gun","409","correct"
6,"b95",47,"black","gun","480","correct"
7,"w07",47,"white","gun","623","correct"
8,"b07",47,"black","gun","544","correct"
9,"w19",47,"white","gun","623","correct"
10,"b95",47,"black","gun","520","correct"
11,"w06",47,"white","gun","783","correct"
12,"b02",47,"black","gun","719","correct"
13,"w94",47,"white","gun","538","correct"
14,"b17",47,"black","gun","671","correct"
15,"w15",47,"white","nogun","682","correct"
16,"w91",47,"white","gun","498","correct"
17,"w15",47,"white","gun","535","correct"
18,"w19",47,"white","nogun","769","correct"
19,"b13",47,"black","nogun","671","correct"
20,"w19",47,"white","nogun","675","correct"
21,"w01",47,"white","nogun","627","correct"
22,"w92",47,"white","gun",".","timeout"
23,"w96",47,"white","gun","521","correct"
24,"w97",47,"white","gun","651","correct"
25,"b98",47,"black","nogun","688","correct"
26,"w93",47,"white","gun","488","correct"
27,"b12",47,"black","gun","518","correct"
28,"w91",47,"white","gun","561","correct"
29,"b91",47,"black","nogun","638","correct"
30,"b97",47,"black","nogun","686","correct"
31,"b16",47,"black","gun","536","correct"
32,"w92",47,"white","nogun","669","correct"
33,"b90",47,"black","gun","598","correct"
34,"w11",47,"white","gun","513","correct"
35,"b04",47,"black","nogun","625","correct"
36,"w06",47,"white","gun","621","correct"
1,"w07",48,"white","nogun","698","correct"
2,"b08",48,"black","nogun","751","correct"
3,"w95",48,"white","gun","681","correct"
4,"w15",48,"white","gun","427","correct"
5,"b96",48,"black","gun","475","correct"
6,"w99",48,"white","gun","547","correct"
7,"b10",48,"black","gun","772","correct"
8,"b94",48,"black","nogun","667","correct"
9,"w97",48,"white","nogun","569","correct"
10,"w96",48,"white","nogun","731","correct"
11,"w15",48,"white","nogun","483","correct"
12,"w05",48,"white","gun","563","correct"
13,"w16",48,"white","nogun","692","correct"
14,"b95",48,"black","nogun","730","correct"
15,"b98",48,"black","gun","565","correct"
16,"b10",48,"black","nogun","520","incorrect"
17,"b04",48,"black","gun","756","correct"
18,"b98",48,"black","nogun","744","correct"
19,"w14",48,"white","gun","505","correct"
20,"w97",48,"white","nogun",".","timeout"
21,"b17",48,"black","gun","620","correct"
22,"w02",48,"white","nogun","553","correct"
23,"b01",48,"black","gun","609","correct"
24,"w15",48,"white","gun","543","correct"
25,"w08",48,"white","gun","521","correct"
26,"w07",48,"white","nogun","556","correct"
27,"w05",48,"white","gun","435","correct"
28,"b04",48,"black","gun","543","correct"
29,"b93",48,"black","nogun","627","correct"
30,"b95",48,"black","gun","519","correct"
31,"b01",48,"black","nogun","546","correct"
32,"b05",48,"black","gun","630","correct"
33,"w14",48,"white","gun","475","correct"
34,"w03",48,"white","nogun","645","correct"
35,"w03",48,"white","nogun","788","correct"
36,"b91",48,"black","nogun","702","correct"
1,"w90",49,"white","nogun","731","correct"
2,"w06",49,"white","gun","654","correct"
3,"b04",49,"black","nogun",".","timeout"
4,"w02",49,"white","nogun","530","correct"
5,"b08",49,"black","nogun","664","correct"
